Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,0.8413194444444445,0.35646091159756504,0.9650000000000001,0.15750870805258224
2,0.9840277777777778,0.06630791773616997,0.92,0.367904949496733
3,0.9913194444444445,0.03451629043459737,0.9750000000000001,0.1292736658759072
4,0.998263888888889,0.006493206298323962,0.9516666666666668,0.2702101065863788
5,0.9996527777777778,0.00044950880839880687,0.9716666666666667,0.15289102230240373
6,0.9996527777777778,0.0011413561187105692,0.9800000000000001,0.16418364104456964
7,0.9996527777777778,0.0010588635975081059,0.9766666666666667,0.18562846614333084
8,1.0,2.3921351829711866e-05,0.9816666666666667,0.16329885198994912
9,1.0,1.854335455391265e-05,0.9816666666666667,0.16489522383768704
10,1.0,1.6042968364773615e-05,0.9816666666666667,0.16684318473806725
11,0.9996527777777778,0.0017579925410245779,0.9800000000000001,0.16267630504159425
12,1.0,1.2784134246936042e-05,0.9800000000000001,0.16500524136132586
13,1.0,1.1856256848356377e-05,0.9800000000000001,0.1683395068525897
14,1.0,1.0511111678271036e-05,0.9800000000000001,0.169666490975224
15,1.0,9.356634144650241e-06,0.9800000000000001,0.17079787325085244
16,1.0,8.630581545629764e-06,0.9800000000000001,0.17228035709343348
17,1.0,7.972411107301822e-06,0.9800000000000001,0.17355883095742206
18,1.0,7.382122584608119e-06,0.9800000000000001,0.1749613390063228
19,1.0,7.4959181221048415e-06,0.9833333333333334,0.18175323980341618
20,1.0,6.468151574760365e-06,0.9833333333333334,0.18334320954841732
21,1.0,6.040320315353003e-06,0.9833333333333334,0.1842990397262539
22,1.0,5.6317978937335685e-06,0.9833333333333334,0.1819531864334749
23,1.0,5.192039623125311e-06,0.9833333333333334,0.18180243510315258
24,1.0,4.8206328150020754e-06,0.9833333333333334,0.1824250885699712
25,1.0,4.481387600208109e-06,0.9833333333333334,0.18325447431537836
26,1.0,4.221819239723522e-06,0.9833333333333334,0.18408945940539548
27,1.0,3.987913338379359e-06,0.9833333333333334,0.1848005439203761
28,1.0,3.820979530802207e-06,0.9833333333333334,0.18551086256550925
29,1.0,3.5789604327065817e-06,0.9816666666666667,0.18635751912841825
30,1.0,3.4268437629078915e-06,0.9800000000000001,0.18777441246086374
31,1.0,3.220093180465887e-06,0.9800000000000001,0.18861606615355772
32,1.0,3.0914883205292024e-06,0.9800000000000001,0.18946434181519803
33,1.0,2.996493573290435e-06,0.9800000000000001,0.19021351166672
34,1.0,2.836513753360729e-06,0.9800000000000001,0.1909979710286148
35,1.0,2.759317683537827e-06,0.9800000000000001,0.1917143603273201
36,1.0,2.663328032465668e-06,0.9800000000000001,0.19294696231217082
37,1.0,2.5038878151109302e-06,0.9800000000000001,0.19360075492200898
38,1.0,2.386500220078839e-06,0.9800000000000001,0.19419237866125477
39,1.0,2.356449521004025e-06,0.9800000000000001,0.19474688256141653
40,1.0,2.2316942584489477e-06,0.9800000000000001,0.19527251447034719
41,1.0,2.159092616062076e-06,0.9800000000000001,0.19574818446826434
42,1.0,2.1482478132384132e-06,0.9800000000000001,0.19621138712808847
43,1.0,2.070679319230193e-06,0.9800000000000001,0.19662047557865567
44,1.0,2.0466715701180267e-06,0.9800000000000001,0.1970015322826809
45,1.0,1.9710901123441243e-06,0.9800000000000001,0.1973184767520922
46,1.0,1.944102549108114e-06,0.9800000000000001,0.19758602352995444
47,1.0,1.9074291995164257e-06,0.9800000000000001,0.1978016889080197
48,1.0,1.8872712985285034e-06,0.9800000000000001,0.19796324085506525
49,1.0,1.881558906941589e-06,0.9800000000000001,0.1980638750155896
50,1.0,1.8719975445138617e-06,0.9800000000000001,0.19809678548376483
